url,title,ai_model_mentioned,citations_count,sentiment,visibility_score,competitor_mentioned,query_category,last_updated,traffic_estimate,domain_authority,mentions_count,position_in_response,response_type,geographic_region
https://www.hubspot.com/marketing-software?utm_source=ai&utm_medium=chatgpt&ref=ai_search,Best Marketing Automation Software,ChatGPT,247,positive,85,Salesforce,marketing_tools,2024-12-15,850000,92,156,1,recommendation_list,global
https://www.salesforce.com/products/marketing-cloud/?campaign=ai_visibility&source=claude,Marketing Cloud Solutions,Claude,198,positive,78,HubSpot,crm_software,2024-12-14,1200000,94,143,2,detailed_comparison,north_america
https://www.shopify.com/pricing?ref=perplexity&ai_source=true,E-commerce Platform Pricing,Perplexity,89,positive,72,WooCommerce,ecommerce_platforms,2024-12-13,945000,88,98,1,pricing_comparison,global
https://www.notion.so/product?utm_campaign=ai_search&model=gemini,All-in-one Workspace,Gemini,156,positive,82,Asana,productivity_tools,2024-12-12,678000,86,134,3,feature_overview,global
https://www.stripe.com/payments?source=ai&ref=chatgpt_rec,Online Payment Processing,ChatGPT,234,positive,88,PayPal,payment_processors,2024-12-11,1100000,91,187,1,technical_guide,global
https://www.hubspot.com/crm?ai_ref=gemini&source=search,CRM Software for Small Business,Gemini,189,positive,81,Salesforce,crm_software,2024-12-10,850000,92,143,2,business_solutions,global
https://www.shopify.com/features?utm_source=claude&ai_model=true,E-commerce Features Overview,Claude,134,positive,76,BigCommerce,ecommerce_features,2024-12-09,945000,88,112,3,feature_comparison,global
https://www.canva.com/design?ai_ref=true&utm_source=claude,Graphic Design Made Easy,Claude,167,positive,76,Adobe,design_tools,2024-12-10,789000,84,145,2,tutorial_content,global
https://www.zoom.us/pricing?campaign=ai_visibility,Video Conferencing Solutions,ChatGPT,145,neutral,68,Microsoft Teams,video_conferencing,2024-12-09,567000,89,112,4,comparison_article,north_america
https://www.slack.com/features?ref=ai_search&model=gemini,Team Communication Platform,Gemini,198,positive,81,Discord,team_collaboration,2024-12-08,823000,87,167,2,feature_comparison,global
https://www.figma.com/design-tool?utm_source=perplexity&ai=true,Collaborative Design Platform,Perplexity,134,positive,79,Sketch,design_collaboration,2024-12-07,612000,85,123,1,design_tutorial,global
https://www.mailchimp.com/marketing-platform/?ai_source=claude,Email Marketing Platform,Claude,156,positive,73,Constant Contact,email_marketing,2024-12-06,445000,83,134,3,marketing_guide,north_america
https://www.stripe.com/features?ai_source=perplexity&payments=true,Payment Processing Features,Perplexity,198,positive,84,Square,fintech_solutions,2024-12-05,1100000,91,167,2,feature_overview,global
https://www.notion.so/pricing?ref=chatgpt&ai_search=productivity,Workspace Pricing Plans,ChatGPT,123,positive,79,Obsidian,productivity_pricing,2024-12-04,678000,86,98,1,pricing_guide,global
https://www.airtable.com/product?ref=chatgpt&ai_search=true,Database and Project Management,ChatGPT,89,positive,71,Monday.com,project_management,2024-12-05,378000,81,98,2,workflow_optimization,global
https://www.asana.com/features?utm_campaign=ai_visibility&model=gemini,Team Project Management,Gemini,167,positive,77,Trello,project_management,2024-12-04,534000,86,145,1,productivity_tips,global
https://www.trello.com/tour?source=ai&ref=perplexity,Visual Project Management,Perplexity,123,positive,69,Asana,kanban_tools,2024-12-03,423000,79,111,3,project_templates,global
https://www.dropbox.com/business?ai_ref=claude&campaign=storage,Cloud Storage for Business,Claude,178,positive,74,Google Drive,cloud_storage,2024-12-02,656000,88,156,2,storage_comparison,global
https://www.hubspot.com/sales?utm_source=perplexity&ai_ref=sales,Sales CRM Platform,Perplexity,156,positive,83,Pipedrive,sales_automation,2024-12-01,850000,92,134,1,sales_tools,global
https://www.atlassian.com/software/jira?utm_source=ai&model=chatgpt,Issue Tracking Software,ChatGPT,145,neutral,66,Linear,dev_tools,2024-12-01,567000,84,123,4,development_workflow,global
